idx,cycle_period,storm2drought_ratio,storm_onset_month,storm_onset_day,ratio
275.0,105.0,0.1,7.0,1.0,1.1589333586275377
276.0,105.0,0.1,8.0,1.0,1.1418298268644456
277.0,105.0,0.1,9.0,1.0,1.0025712746379207
278.0,105.0,0.1,10.0,1.0,0.943043131971626
279.0,105.0,0.2,2.0,1.0,0.913286139945918
280.0,105.0,0.2,3.0,1.0,1.0797248505687902
281.0,105.0,0.2,4.0,1.0,1.0537340542366531
282.0,105.0,0.2,5.0,1.0,0.9856721803279228
283.0,105.0,0.2,6.0,1.0,1.1113918083927452
284.0,105.0,0.2,7.0,1.0,1.1412131696248837
285.0,105.0,0.2,8.0,1.0,1.031480621086714
286.0,105.0,0.2,9.0,1.0,1.0142571939220182
287.0,105.0,0.2,10.0,1.0,1.1505898826627703
288.0,105.0,0.3,2.0,1.0,0.9046674259738013
289.0,105.0,0.3,3.0,1.0,1.0634830048660315
290.0,105.0,0.3,4.0,1.0,1.0080402033064133
291.0,105.0,0.3,5.0,1.0,0.946381582629938
292.0,105.0,0.3,6.0,1.0,1.103498996957783
293.0,105.0,0.3,7.0,1.0,1.137146105509713
294.0,105.0,0.3,8.0,1.0,0.9577031417999673
295.0,105.0,0.3,9.0,1.0,1.005297481019224
296.0,105.0,0.3,10.0,1.0,1.1455314886676922
297.0,105.0,0.4,2.0,1.0,0.9086818252325042
298.0,105.0,0.4,3.0,1.0,1.0587503025943268
299.0,105.0,0.4,4.0,1.0,0.9239877868582482
300.0,105.0,0.4,5.0,1.0,0.9466908191499779
301.0,105.0,0.4,6.0,1.0,1.1008078479977457
302.0,105.0,0.4,7.0,1.0,1.1177231415167488
303.0,105.0,0.4,8.0,1.0,0.8952302825261851
304.0,105.0,0.4,9.0,1.0,0.9936418543779986
305.0,105.0,0.4,10.0,1.0,1.151043310799853
306.0,105.0,0.5,2.0,1.0,0.9128098874748739
307.0,105.0,0.5,3.0,1.0,1.0424326560067212
308.0,105.0,0.5,4.0,1.0,0.8910519174579912
309.0,105.0,0.5,5.0,1.0,0.9450866280559902
310.0,105.0,0.5,6.0,1.0,1.1027195862973378
311.0,105.0,0.5,7.0,1.0,1.0835039874527446
312.0,105.0,0.5,8.0,1.0,0.9063259154816566
313.0,105.0,0.5,9.0,1.0,0.9919799977685279
314.0,105.0,0.5,10.0,1.0,1.1521929299093276
315.0,120.0,0.1,2.0,1.0,1.0990038593752784
316.0,120.0,0.1,3.0,1.0,1.109974491985164
317.0,120.0,0.1,4.0,1.0,1.0375691081275462
318.0,120.0,0.1,5.0,1.0,1.0957424286374051
319.0,120.0,0.1,6.0,1.0,1.1658272322421308
320.0,120.0,0.1,7.0,1.0,1.1373203614300378
321.0,120.0,0.1,8.0,1.0,1.0934682254214945
322.0,120.0,0.1,9.0,1.0,0.9806635725417193
323.0,120.0,0.1,10.0,1.0,1.0276494843603852
324.0,120.0,0.2,2.0,1.0,1.0574211459003977
325.0,120.0,0.2,3.0,1.0,1.0519939204659454
326.0,120.0,0.2,4.0,1.0,0.9306821316712155
327.0,120.0,0.2,5.0,1.0,1.1012116892912869
328.0,120.0,0.2,6.0,1.0,1.1378398741308202
329.0,120.0,0.2,7.0,1.0,1.1014305157817788
330.0,120.0,0.2,8.0,1.0,0.9895518088755412
331.0,120.0,0.2,9.0,1.0,1.1525733269393938
332.0,120.0,0.2,10.0,1.0,1.1565295807046694
333.0,120.0,0.3,2.0,1.0,1.0519077778395844
334.0,120.0,0.3,3.0,1.0,0.9701596523132477
335.0,120.0,0.3,4.0,1.0,0.8883786529250736
336.0,120.0,0.3,5.0,1.0,1.0879989731880622
337.0,120.0,0.3,6.0,1.0,1.1355906581417905
338.0,120.0,0.3,7.0,1.0,1.0057887428600991
339.0,120.0,0.3,8.0,1.0,0.9488205690855579
340.0,120.0,0.3,9.0,1.0,1.148363626906832
341.0,120.0,0.3,10.0,1.0,1.1559065867159013
342.0,120.0,0.4,2.0,1.0,1.0517038562873502
343.0,120.0,0.4,3.0,1.0,0.8811232073142248
344.0,120.0,0.4,4.0,1.0,0.9004674956631994
345.0,120.0,0.4,5.0,1.0,1.0894022361133713
346.0,120.0,0.4,6.0,1.0,1.1366745490567667
347.0,120.0,0.4,7.0,1.0,0.9370408042921203
348.0,120.0,0.4,8.0,1.0,0.9548727411689608
349.0,120.0,0.4,9.0,1.0,1.1329482950233947
350.0,120.0,0.4,10.0,1.0,1.1505890889206243
351.0,120.0,0.5,2.0,1.0,1.0499003000471914
352.0,120.0,0.5,3.0,1.0,0.8050602212171054
353.0,120.0,0.5,4.0,1.0,0.8977552885909649
354.0,120.0,0.5,5.0,1.0,1.0879335368077012
355.0,120.0,0.5,6.0,1.0,1.1307429955320512
356.0,120.0,0.5,7.0,1.0,0.8931361349379143
357.0,120.0,0.5,8.0,1.0,0.9566639097324725
358.0,120.0,0.5,9.0,1.0,1.1373498347088202
359.0,120.0,0.5,10.0,1.0,1.135245122877395
360.0,135.0,0.1,2.0,1.0,1.0757027586417915
361.0,135.0,0.1,3.0,1.0,1.021489018829536
362.0,135.0,0.1,4.0,1.0,1.0620626807418545
363.0,135.0,0.1,5.0,1.0,1.1592997360085862
364.0,135.0,0.1,6.0,1.0,1.148223673592719
365.0,135.0,0.1,7.0,1.0,1.1041467271148484
366.0,135.0,0.1,8.0,1.0,1.0337908031429655
367.0,135.0,0.1,9.0,1.0,1.051228754562655
