day_of_year,mean_daily_total_precp_in_last30days
134.0,58.271578947368425
135.0,57.98105263157893
136.0,57.53052631578947
137.0,58.118947368421054
138.0,59.91473684210525
139.0,61.26631578947369
140.0,61.89578947368422
141.0,62.8221052631579
142.0,62.91368421052632
143.0,63.003157894736844
144.0,63.74736842105264
145.0,63.63999999999999
146.0,63.52947368421053
147.0,63.91368421052633
148.0,64.29684210526317
149.0,65.0221052631579
150.0,65.37263157894738
151.0,65.46947368421053
152.0,65.89684210526315
153.0,65.74421052631578
154.0,65.84210526315789
155.0,65.86000000000001
156.0,65.87368421052632
157.0,66.65684210526314
158.0,67.60210526315788
159.0,68.27684210526316
160.0,69.07894736842105
161.0,69.64210526315789
162.0,69.58736842105263
163.0,70.65157894736842
164.0,71.46526315789474
165.0,71.56736842105262
166.0,71.39473684210526
167.0,72.42105263157896
168.0,71.9736842105263
169.0,71.14210526315789
170.0,71.67368421052633
171.0,71.57894736842105
172.0,72.77157894736843
173.0,73.16842105263159
174.0,73.77894736842106
175.0,74.53157894736843
176.0,74.29052631578949
177.0,74.28736842105265
178.0,74.74842105263158
179.0,75.38736842105263
180.0,76.12526315789472
181.0,75.13157894736841
182.0,74.84736842105262
183.0,75.10736842105261
184.0,74.65263157894736
185.0,75.24105263157895
186.0,75.25157894736843
187.0,75.38105263157894
188.0,75.4557894736842
189.0,75.15999999999998
190.0,74.28631578947368
191.0,73.48210526315789
192.0,73.77473684210524
193.0,73.27789473684209
194.0,73.54315789473685
195.0,74.98105263157896
196.0,75.68947368421053
197.0,74.51052631578946
198.0,74.56421052631579
199.0,75.52842105263157
200.0,75.39052631578947
201.0,75.35263157894738
202.0,74.8621052631579
203.0,73.73263157894736
204.0,74.2178947368421
205.0,74.88
206.0,75.07157894736841
207.0,73.96315789473684
208.0,73.50421052631579
209.0,72.61157894736843
210.0,71.06105263157895
211.0,71.14842105263158
212.0,71.1978947368421
213.0,71.11578947368422
214.0,71.8242105263158
215.0,72.02736842105263
216.0,71.4178947368421
217.0,70.71473684210525
218.0,69.8378947368421
219.0,70.76421052631576
220.0,73.22421052631577
221.0,73.7978947368421
222.0,74.34526315789473
223.0,75.56105263157893
224.0,75.36315789473684
225.0,73.93999999999998
226.0,73.7442105263158
227.0,74.1421052631579
228.0,74.95684210526316
229.0,73.78842105263158
230.0,75.10842105263158
231.0,75.1642105263158
232.0,76.00315789473683
233.0,77.37894736842104
234.0,76.74526315789474
235.0,76.23894736842105
236.0,76.30315789473683
237.0,77.77157894736841
238.0,78.3757894736842
239.0,78.80736842105264
240.0,79.66105263157895
241.0,80.67263157894739
242.0,80.69894736842106
243.0,80.88526315789473
244.0,79.6378947368421
245.0,78.34000000000002
246.0,78.8157894736842
247.0,79.40631578947368
248.0,78.04105263157896
249.0,75.73473684210526
250.0,73.0621052631579
251.0,71.27263157894737
252.0,70.67157894736842
253.0,68.76631578947368
254.0,67.89052631578947
255.0,67.63052631578947
256.0,67.5242105263158
257.0,67.79894736842104
258.0,67.31157894736842
259.0,67.39894736842105
260.0,65.22631578947369
261.0,65.0957894736842
262.0,63.378947368421045
263.0,62.10631578947369
264.0,62.25578947368421
265.0,62.04736842105263
266.0,62.193684210526314
267.0,60.92631578947368
268.0,61.285263157894754
269.0,61.23157894736843
270.0,60.45052631578947
271.0,59.60526315789474
272.0,57.36210526315789
273.0,57.17894736842104
274.0,57.19473684210525
275.0,57.517894736842095
276.0,57.56421052631578
277.0,56.775789473684206
278.0,56.794736842105266
279.0,58.84315789473683
280.0,59.92105263157894
281.0,60.64526315789473
282.0,60.80842105263157
283.0,62.01684210526315
284.0,62.356842105263155
285.0,62.51157894736843
286.0,61.442105263157906
287.0,61.67999999999999
288.0,60.83052631578948
289.0,59.967368421052626
290.0,60.52315789473683
291.0,59.452631578947376
292.0,59.89894736842105
293.0,60.60947368421052
294.0,59.59263157894736
295.0,59.60210526315788
296.0,59.387368421052635
297.0,60.539999999999985
298.0,60.24315789473684
299.0,59.95263157894737
300.0,59.9463157894737
301.0,61.681052631578936
302.0,63.80736842105263
303.0,63.20631578947368
304.0,62.92315789473683
305.0,63.256842105263175
306.0,64.34421052631579
307.0,64.48210526315789
308.0,65.99263157894738
309.0,65.37263157894736
310.0,64.68842105263157
311.0,65.18947368421053
312.0,65.27263157894737
313.0,65.37894736842105
314.0,66.98842105263158
315.0,67.39368421052632
316.0,69.0957894736842
317.0,70.3557894736842
318.0,72.32
319.0,73.81157894736843
320.0,75.76631578947368
321.0,77.84210526315789
322.0,78.22947368421053
323.0,78.91789473684211
324.0,80.56210526315787
325.0,81.86842105263158
326.0,81.99157894736842
327.0,81.09263157894736
328.0,80.55052631578947
329.0,80.94842105263157
330.0,81.76315789473685
331.0,80.34947368421054
332.0,80.53578947368422
333.0,81.72315789473684
334.0,83.38421052631578
335.0,83.51368421052632
336.0,83.7821052631579
337.0,85.55999999999997
338.0,86.43473684210528
339.0,86.94736842105263
340.0,88.17368421052632
341.0,89.79894736842105
342.0,89.84315789473685
343.0,91.23473684210529
344.0,91.70631578947369
345.0,93.83684210526316
346.0,94.07999999999998
347.0,92.89789473684208
348.0,91.35684210526315
349.0,92.7357894736842
350.0,93.08
351.0,94.27894736842102
352.0,94.54526315789471
353.0,94.8136842105263
354.0,94.14105263157894
355.0,95.09157894736843
356.0,96.6821052631579
357.0,98.75052631578944
358.0,98.83263157894733
359.0,98.56947368421054
360.0,98.22526315789472
361.0,99.05157894736838
362.0,98.53263157894736
363.0,99.36526315789473
364.0,98.8673684210526
365.0,99.66315789473684
